食物,别名,特征,分类,Wiki百科,热量(千卡),硫胺素(毫克),钙(毫克),蛋白质(克),核黄素(毫克),镁(毫克),脂肪(克),烟酸(毫克),铁(毫克),碳水化合物(克),维生素C(毫克),锰(毫克),膳食纤维(克),维生素E(毫克),锌(毫克),维生素A(微克),胆固醇(毫克),铜(毫克),胡罗卜素(微克),钾(毫克),磷(毫克),视黄醇当量(微克),钠(毫克),硒(微克),备注
小麦,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6,317.0,0.4,34.0,11.9,0.1,4.0,1.3,4.0,5.1,64.4,0.0,3.1,10.8,1.82,2.33,0.0,0.0,0.43,1.6,289.0,325.0,10.0,6.8,4.05,Empty
五谷香,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E4%BA%94%E8%B0%B7%E9%A6%99,377.0,0.11,2.0,9.9,0.19,0.0,2.6,0.0,0.5,78.4,0.0,0.05,0.5,2.31,0.23,0.0,0.0,0.08,3.0,7.0,13.0,5.6,1.0,1.15,Empty
小麦粉,Empty,标准粉,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6%E7%B2%89,344.0,0.28,31.0,11.2,0.08,50.0,1.5,2.0,3.5,71.5,0.0,1.56,2.1,1.8,1.64,0.0,0.0,0.42,1.0,190.0,188.0,12.7,3.1,5.36,Empty
小麦粉,Empty,富强粉，特一粉,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6%E7%B2%89,350.0,0.17,27.0,10.3,0.06,32.0,1.1,2.0,2.7,74.6,0.0,0.77,0.6,0.73,0.97,0.0,0.0,0.26,0.7,128.0,114.0,12.7,2.7,6.88,Empty
小麦粉,Empty,特二粉,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6%E7%B2%89,349.0,0.15,30.0,10.4,0.11,48.0,1.1,2.0,3.0,74.3,0.0,0.92,1.6,1.25,0.96,0.0,0.0,0.58,0.6,124.0,120.0,12.0,1.5,6.01,Empty
小麦胚粉,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E9%BA%A6%E8%83%9A%E7%B2%89,392.0,3.5,85.0,36.4,0.79,198.0,10.1,3.7,0.6,38.9,0.0,17.3,5.6,23.2,23.4,0.0,0.0,0.83,4.7,1523.0,1168.0,4.3,4.6,65.2,Empty
麸皮,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E9%BA%B8%E7%9A%AE,220.0,0.3,206.0,15.8,0.3,382.0,4.0,12.5,9.9,30.1,0.0,10.85,31.3,4.47,5.98,20.0,0.0,2.03,4.3,862.0,682.0,14.5,12.2,7.12,Empty
挂面,Empty,均值,谷类,http://www.foodbk.com/wiki/%E6%8C%82%E9%9D%A2,346.0,0.19,17.0,10.3,0.04,49.0,0.6,2.5,3.0,74.9,0.0,0.92,0.7,1.04,0.94,0.0,0.0,0.39,1.2,129.0,134.0,12.3,184.5,11.77,Empty
挂面,Empty,标准粉,谷类,http://www.foodbk.com/wiki/%E6%8C%82%E9%9D%A2,344.0,0.19,14.0,10.1,0.04,51.0,0.7,2.5,3.5,74.4,0.0,1.28,1.6,1.11,1.22,0.0,0.0,0.44,0.8,157.0,153.0,12.4,150.0,9.9,Empty
挂面,Empty,富强粉,谷类,http://www.foodbk.com/wiki/%E6%8C%82%E9%9D%A2,347.0,0.2,21.0,9.6,0.04,48.0,0.6,2.4,3.2,75.7,0.0,0.68,0.3,0.88,0.74,0.0,0.0,0.4,1.1,122.0,112.0,12.7,110.6,11.13,Empty
挂面,Empty,精制龙须面,谷类,http://www.foodbk.com/wiki/%E6%8C%82%E9%9D%A2,347.0,0.18,26.0,11.2,0.03,48.0,0.5,2.5,2.3,74.5,0.0,0.81,0.2,0.0,0.87,0.0,0.0,0.33,1.7,109.0,137.0,11.9,292.8,14.28,Empty
面条,Empty,均值,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,284.0,0.22,11.0,8.3,0.07,39.0,0.7,1.4,3.6,61.1,0.0,0.86,0.8,0.59,1.43,0.0,0.0,0.17,0.6,135.0,162.0,28.5,28.0,11.74,Empty
面条,Empty,标准粉，切面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,280.0,0.35,13.0,8.5,0.1,61.0,1.6,3.1,2.6,58.0,0.0,1.35,1.5,0.47,1.07,0.0,0.0,0.2,0.7,161.0,142.0,29.7,3.4,0.4,Empty
面条,Empty,富强粉，切面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,285.0,0.18,24.0,9.3,0.04,29.0,1.1,2.2,2.0,59.5,0.0,0.56,0.4,0.0,0.83,0.0,0.0,0.14,0.5,102.0,92.0,29.2,1.5,17.3,Empty
面条,Empty,特粉，切面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,286.0,0.17,3.0,7.3,0.09,36.0,0.1,0.3,4.7,63.9,0.0,0.74,0.6,0.47,1.68,0.0,0.0,0.16,0.6,128.0,181.0,27.5,9.7,15.82,Empty
面条,Empty,富强粉，煮,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,109.0,0.0,4.0,2.7,0.01,10.0,0.2,1.8,0.5,24.2,0.0,0.2,0.1,0.0,0.21,0.0,0.0,0.04,0.2,15.0,25.0,72.6,26.9,0.2,Empty
面条,Empty,干切面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,355.0,0.28,8.0,11.0,0.05,42.0,0.1,2.7,9.6,77.5,0.0,0.72,0.2,0.0,1.5,0.0,0.0,0.22,0.7,100.0,142.0,10.5,60.9,7.78,Empty
面条,Empty,虾蓉面,谷类,http://www.foodbk.com/wiki/%E9%9D%A2%E6%9D%A1,429.0,0.0,17.0,8.5,0.01,24.0,15.1,2.8,2.0,64.7,0.0,0.0,3.6,1.22,0.0,0.0,0.0,0.45,2.0,101.0,92.0,6.1,304.2,9.39,Empty
通心面,通心粉,Empty,谷类,http://www.foodbk.com/wiki/%E9%80%9A%E5%BF%83%E9%9D%A2,350.0,0.12,14.0,11.9,0.03,58.0,0.1,1.0,2.6,75.4,0.0,0.67,0.4,0.0,1.55,0.0,0.0,0.16,0.4,209.0,97.0,11.8,35.0,5.8,Empty
花卷,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E8%8A%B1%E5%8D%B7,211.0,0.0,19.0,6.4,0.02,12.0,1.0,1.1,0.4,44.1,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.09,1.3,83.0,72.0,45.7,95.0,6.17,Empty
空锅饼,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E7%A9%BA%E9%94%85%E9%A5%BC,277.0,0.14,2.0,8.6,0.0,30.0,0.2,0.0,5.8,60.2,0.0,0.78,0.7,0.08,1.73,0.0,0.0,0.13,0.9,138.0,133.0,29.4,243.2,24.19,Empty
烙饼,Empty,标准粉,谷类,http://www.foodbk.com/wiki/%E7%83%99%E9%A5%BC,255.0,0.02,20.0,7.5,0.04,51.0,2.3,0.0,2.4,51.0,0.0,1.15,1.9,1.03,0.94,0.0,0.0,0.15,0.9,141.0,146.0,36.4,149.3,7.5,Empty
馒头,Empty,均值,谷类,http://www.foodbk.com/wiki/%E9%A6%92%E5%A4%B4,221.0,0.04,38.0,7.0,0.05,30.0,1.1,0.0,1.8,45.7,0.0,0.78,1.3,0.65,0.71,0.0,0.0,0.1,1.0,138.0,107.0,43.9,165.1,8.45,Empty
馒头,Empty,标准粉,谷类,http://www.foodbk.com/wiki/%E9%A6%92%E5%A4%B4,233.0,0.05,18.0,7.8,0.07,39.0,1.0,0.0,1.9,48.3,0.0,1.27,1.5,0.86,1.01,0.0,0.0,0.14,0.9,129.0,136.0,40.5,165.2,9.7,Empty
馒头,Empty,富强粉,谷类,http://www.foodbk.com/wiki/%E9%A6%92%E5%A4%B4,208.0,0.02,58.0,6.2,0.02,20.0,1.2,0.0,1.7,43.2,0.0,0.29,1.0,0.09,0.4,0.0,0.0,0.05,1.1,146.0,78.0,47.3,165.0,7.2,Empty
烧饼,Empty,加糖,谷类,http://www.foodbk.com/wiki/%E7%83%A7%E9%A5%BC,293.0,0.0,51.0,8.0,0.01,26.0,2.1,1.1,1.6,60.6,0.0,0.0,2.1,0.39,0.36,0.0,0.0,0.15,1.3,122.0,105.0,25.9,62.5,12.16,Empty
油饼,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%B2%B9%E9%A5%BC,399.0,0.11,46.0,7.9,0.05,13.0,22.9,0.0,2.3,40.4,0.0,0.71,2.0,13.72,0.97,0.0,0.0,0.27,2.0,106.0,124.0,24.8,572.5,10.6,Empty
油条,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%B2%B9%E6%9D%A1,386.0,0.01,6.0,6.9,0.07,19.0,17.6,0.7,1.0,50.1,0.0,0.52,0.9,3.19,0.75,0.0,0.0,0.19,2.7,227.0,77.0,21.8,585.2,8.6,Empty
水面筋,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%B0%B4%E9%9D%A2%E7%AD%8B,141.0,0.1,76.0,23.5,0.07,26.0,0.1,1.1,4.2,11.4,0.0,0.86,0.9,0.65,1.76,0.0,0.0,0.19,0.6,69.0,133.0,63.5,15.0,1.0,Empty
油面筋,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%B2%B9%E9%9D%A2%E7%AD%8B,490.0,0.03,29.0,26.9,0.05,40.0,25.1,2.2,2.5,39.1,0.0,1.28,1.3,7.18,2.29,0.0,0.0,0.5,0.5,45.0,98.0,7.1,29.5,22.8,Empty
稻米,Empty,均值,谷类,http://www.foodbk.com/wiki/%E7%A8%BB%E7%B1%B3,346.0,0.11,13.0,7.4,0.05,34.0,0.8,1.9,2.3,77.2,0.0,1.29,0.7,0.46,1.7,0.0,0.0,0.3,0.6,103.0,110.0,13.3,3.8,2.23,Empty
粳米,Empty,标一,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B1%B3,343.0,0.16,11.0,7.7,0.08,34.0,0.6,1.3,1.1,76.8,0.0,1.36,0.6,1.01,1.45,0.0,0.0,0.19,0.6,97.0,121.0,13.7,2.4,2.5,Empty
粳米,Empty,标二,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B1%B3,347.0,0.22,3.0,8.0,0.05,20.0,0.6,2.6,0.4,77.3,0.0,0.77,0.4,0.53,0.89,0.0,0.0,0.28,0.5,78.0,99.0,13.2,0.9,6.4,Empty
粳米,Empty,标三,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B1%B3,345.0,0.33,5.0,7.2,0.03,0.0,0.8,3.6,0.7,77.2,0.0,0.89,0.4,0.3,0.93,0.0,0.0,0.28,0.5,78.0,108.0,13.9,1.3,5.4,Empty
粳米,Empty,标四,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B1%B3,346.0,0.14,4.0,7.5,0.05,20.0,0.7,5.2,0.7,77.4,0.0,1.07,0.7,0.39,0.97,0.0,0.0,0.26,0.6,106.0,123.0,13.1,1.6,4.87,Empty
粳米,Empty,特等,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B1%B3,334.0,0.08,24.0,7.3,0.04,25.0,0.4,1.1,0.9,75.3,0.0,1.0,0.4,0.76,1.07,0.0,0.0,0.26,0.4,58.0,80.0,16.2,6.2,2.49,Empty
籼米,Empty,标一,谷类,http://www.foodbk.com/wiki/%E7%B1%BC%E7%B1%B3,346.0,0.15,7.0,7.7,0.06,33.0,0.7,2.1,1.3,77.3,0.0,1.0,0.6,0.43,1.46,0.0,0.0,0.23,0.7,89.0,146.0,13.0,2.7,3.8,Empty
籼米,机米,标准,谷类,http://www.foodbk.com/wiki/%E7%B1%BC%E7%B1%B3,347.0,0.09,12.0,7.9,0.04,28.0,0.6,1.4,1.6,77.5,0.0,1.27,0.8,0.54,1.47,0.0,0.0,0.29,0.6,109.0,112.0,12.6,1.7,1.99,Empty
籼米,Empty,优标,谷类,http://www.foodbk.com/wiki/%E7%B1%BC%E7%B1%B3,349.0,0.13,8.0,8.3,0.02,13.0,1.0,2.6,0.5,76.8,0.0,1.02,0.5,0.0,1.6,0.0,0.0,0.3,0.6,64.0,85.0,12.8,1.2,6.9,Empty
早籼,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%97%A9%E7%B1%BC,359.0,0.14,13.0,9.9,0.05,0.0,2.2,5.0,5.1,74.8,0.0,2.73,1.4,0.25,2.73,0.0,0.0,0.25,1.5,214.0,257.0,10.2,1.6,1.84,Empty
早籼,Empty,标一,谷类,http://www.foodbk.com/wiki/%E6%97%A9%E7%B1%BC,351.0,0.16,10.0,8.8,0.05,57.0,1.0,2.0,1.2,76.8,0.0,1.21,0.4,0.0,1.59,0.0,0.0,0.23,0.7,124.0,141.0,12.3,1.9,2.05,Empty
早籼,Empty,标二,谷类,http://www.foodbk.com/wiki/%E6%97%A9%E7%B1%BC,345.0,0.2,6.0,9.5,0.09,79.0,1.0,3.0,1.0,74.6,0.0,1.84,0.5,0.0,1.89,0.0,0.0,0.55,0.7,171.0,192.0,13.7,0.8,1.82,Empty
早籼,Empty,特等,谷类,http://www.foodbk.com/wiki/%E6%97%A9%E7%B1%BC,346.0,0.13,6.0,9.1,0.03,42.0,0.6,1.6,0.9,76.0,0.0,1.3,0.7,0.0,1.54,0.0,0.0,0.4,0.7,108.0,141.0,12.9,1.3,2.07,Empty
晚籼,Empty,标一,谷类,http://www.foodbk.com/wiki/%E6%99%9A%E7%B1%BC,345.0,0.17,9.0,7.9,0.05,53.0,0.7,1.7,1.2,76.8,0.0,1.11,0.5,0.22,1.52,0.0,0.0,0.16,0.6,112.0,140.0,13.5,1.5,2.83,Empty
晚籼,Empty,标二,谷类,http://www.foodbk.com/wiki/%E6%99%9A%E7%B1%BC,343.0,0.18,6.0,8.6,0.06,60.0,0.8,2.6,2.8,75.3,0.0,1.05,0.4,0.0,1.89,0.0,0.0,0.2,0.7,146.0,141.0,14.2,0.9,2.26,Empty
晚籼,Empty,特等,谷类,http://www.foodbk.com/wiki/%E6%99%9A%E7%B1%BC,342.0,0.09,6.0,8.1,0.1,28.0,0.3,1.5,0.7,76.7,0.0,0.89,0.2,0.0,1.5,0.0,0.0,0.23,0.7,107.0,104.0,14.0,0.8,1.56,Empty
籼稻谷,Empty,红,谷类,http://www.foodbk.com/wiki/%E7%B1%BC%E7%A8%BB%E8%B0%B7,344.0,0.15,0.0,7.0,0.03,0.0,2.0,5.1,5.5,74.4,0.0,3.2,2.0,0.19,3.29,0.0,0.0,0.35,1.2,220.0,0.0,13.4,22.0,3.12,Empty
黑米,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E9%BB%91%E7%B1%B3,333.0,0.33,12.0,9.4,0.13,147.0,2.5,7.9,1.6,68.3,0.0,1.72,3.9,0.22,3.8,0.0,0.0,0.15,1.6,256.0,356.0,14.3,7.1,3.2,Empty
香大米,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E9%A6%99%E5%A4%A7%E7%B1%B3,346.0,0.0,8.0,12.7,0.08,12.0,0.9,2.6,5.1,71.8,0.0,1.75,0.6,0.7,0.69,0.0,0.0,0.52,1.1,49.0,106.0,12.9,21.5,4.6,Empty
糯米,江米,均值,谷类,http://www.foodbk.com/wiki/%E7%B3%AF%E7%B1%B3,348.0,0.11,26.0,7.3,0.04,49.0,1.0,2.3,1.4,77.5,0.0,1.54,0.8,1.29,1.54,0.0,0.0,0.25,0.8,137.0,113.0,12.6,1.5,2.71,Empty
优糯米,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E4%BC%98%E7%B3%AF%E7%B1%B3,344.0,0.1,8.0,9.0,0.03,50.0,1.0,1.9,0.8,74.7,0.0,0.86,0.6,0.93,1.2,0.0,0.0,0.25,0.5,136.0,48.0,14.2,1.2,2.8,Empty
早糯谷,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E6%97%A9%E7%B3%AF%E8%B0%B7,354.0,0.19,19.0,7.1,0.04,149.0,3.2,0.7,3.0,74.2,0.0,0.0,2.8,0.13,4.92,7.0,0.0,0.53,1.4,0.0,297.0,11.3,4.1,1.98,Empty
紫红糯米,血糯米,Empty,谷类,http://www.foodbk.com/wiki/%E7%B4%AB%E7%BA%A2%E7%B3%AF%E7%B1%B3,343.0,0.31,13.0,8.3,0.12,16.0,1.7,4.2,3.9,73.7,0.0,2.37,1.4,1.36,2.16,0.0,0.0,0.29,1.1,219.0,183.0,13.8,4.0,2.88,Empty
粳糯米,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B3%AF%E7%B1%B3,343.0,0.2,21.0,7.9,0.05,42.0,0.8,1.7,1.9,76.0,0.0,1.56,0.7,0.08,1.77,0.0,0.0,0.24,0.8,125.0,94.0,13.8,2.8,3.3,Empty
籼糯米,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E7%B1%BC%E7%B3%AF%E7%B1%B3,352.0,0.19,14.0,7.9,0.04,52.0,1.1,2.3,1.8,77.5,0.0,1.31,0.5,0.0,1.52,0.0,0.0,0.17,0.7,132.0,82.0,12.3,1.9,2.4,Empty
米饭,Empty,蒸,谷类,http://www.foodbk.com/wiki/%E7%B1%B3%E9%A5%AD,116.0,0.02,7.0,2.6,0.03,15.0,0.3,1.9,1.3,25.6,0.0,0.58,0.3,0.0,0.92,0.0,0.0,0.06,0.3,30.0,62.0,70.9,2.5,0.4,Empty
粳米饭,Empty,蒸,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B1%B3%E9%A5%AD,117.0,0.0,7.0,2.6,0.03,20.0,0.3,2.0,2.2,26.0,0.0,0.85,0.2,0.0,1.36,0.0,0.0,0.08,0.3,39.0,62.0,70.6,3.3,0.4,Empty
籼米饭,Empty,蒸,谷类,http://www.foodbk.com/wiki/%E7%B1%BC%E7%B1%B3%E9%A5%AD,114.0,0.02,6.0,2.5,0.03,10.0,0.2,1.7,0.3,25.6,0.0,0.31,0.4,0.0,0.47,0.0,0.0,0.04,0.2,21.0,0.0,71.1,1.7,0.0,Empty
粳米粥,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E7%B2%B3%E7%B1%B3%E7%B2%A5,46.0,0.0,7.0,1.1,0.03,7.0,0.3,0.2,0.1,9.8,0.0,0.2,0.1,0.0,0.2,0.0,0.0,0.03,0.1,13.0,20.0,88.6,2.8,0.2,Empty
籼米粉,排米粉,Empty,谷类,http://www.foodbk.com/wiki/%E7%B1%BC%E7%B1%B3%E7%B2%89,355.0,0.02,6.0,7.4,0.02,16.0,0.1,0.6,3.2,81.2,0.0,0.6,0.3,0.0,0.8,0.0,0.0,0.3,0.3,14.0,62.0,10.7,16.3,7.48,Empty
籼米粉,Empty,干，细,谷类,http://www.foodbk.com/wiki/%E7%B1%BC%E7%B1%B3%E7%B2%89,346.0,0.03,0.0,8.0,0.0,23.0,0.1,0.2,1.4,78.2,0.0,0.63,0.1,0.0,2.27,0.0,0.0,0.09,1.3,43.0,53.0,12.3,5.9,3.44,Empty
高蛋白豆米粉,Empty,籼米,谷类,http://www.foodbk.com/wiki/%E9%AB%98%E8%9B%8B%E7%99%BD%E8%B1%86%E7%B1%B3%E7%B2%89,414.0,1.1,0.0,16.5,0.68,0.0,7.1,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,2.0,0.0,0.0,Empty
玉米,Empty,鲜,谷类,http://www.foodbk.com/wiki/%E7%8E%89%E7%B1%B3,106.0,0.16,0.0,4.0,0.11,32.0,1.2,1.8,1.1,19.9,16.0,0.22,2.9,0.46,0.9,0.0,0.0,0.09,0.7,238.0,117.0,71.3,1.1,1.63,Empty
玉米,Empty,白，干,谷类,http://www.foodbk.com/wiki/%E7%8E%89%E7%B1%B3,336.0,0.27,10.0,8.8,0.07,95.0,3.8,2.3,2.2,66.7,0.0,0.51,8.0,8.23,1.85,0.0,0.0,0.26,1.0,262.0,244.0,11.7,2.5,4.14,Empty
玉米,Empty,黄，干,谷类,http://www.foodbk.com/wiki/%E7%8E%89%E7%B1%B3,335.0,0.21,14.0,8.7,0.13,96.0,3.8,2.5,2.4,66.6,0.0,0.48,6.4,3.89,1.7,17.0,0.0,0.25,1.3,300.0,218.0,13.2,3.3,3.52,Empty
玉米面,Empty,白,谷类,http://www.foodbk.com/wiki/%E7%8E%89%E7%B1%B3%E9%9D%A2,340.0,0.34,12.0,8.0,0.06,111.0,4.5,3.0,1.3,66.9,0.0,0.4,6.2,6.89,1.22,0.0,0.0,0.23,1.0,276.0,187.0,13.4,0.5,1.58,Empty
玉米面,Empty,黄,谷类,http://www.foodbk.com/wiki/%E7%8E%89%E7%B1%B3%E9%9D%A2,341.0,0.26,22.0,8.1,0.09,84.0,3.3,2.3,3.2,69.6,0.0,0.47,5.6,3.8,1.42,7.0,0.0,0.35,1.3,249.0,196.0,12.1,2.3,2.49,Empty
玉米面,Empty,强化豆粉,谷类,http://www.foodbk.com/wiki/%E7%8E%89%E7%B1%B3%E9%9D%A2,339.0,0.21,18.0,11.8,0.04,106.0,4.9,3.1,3.4,61.9,0.0,0.74,6.4,7.13,1.28,0.0,0.0,0.38,1.4,370.0,234.0,13.6,1.6,9.15,Empty
玉米糁,Empty,黄,谷类,http://www.foodbk.com/wiki/%E7%8E%89%E7%B1%B3%E7%B3%81,347.0,0.1,49.0,7.9,0.08,151.0,3.0,1.2,2.4,72.0,0.0,0.22,3.6,0.57,1.16,0.0,0.0,0.16,0.7,177.0,143.0,12.8,1.7,4.9,Empty
玉米笋,Empty,罐头,谷类,http://www.foodbk.com/wiki/%E7%8E%89%E7%B1%B3%E7%AC%8B,6.0,0.0,6.0,1.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.12,4.9,0.0,0.33,7.0,0.0,0.02,1.3,36.0,4.0,93.0,170.9,0.8,Empty
大麦,元麦,Empty,谷类,http://www.foodbk.com/wiki/%E5%A4%A7%E9%BA%A6,307.0,0.43,66.0,10.2,0.14,158.0,1.4,3.9,6.4,63.4,0.0,1.23,9.9,1.23,4.36,0.0,0.0,0.63,2.0,49.0,381.0,13.1,0.0,9.8,Empty
肚里黄,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E8%82%9A%E9%87%8C%E9%BB%84,321.0,0.37,3.0,8.8,0.02,80.0,1.2,1.6,2.4,68.7,0.0,1.08,8.0,1.28,2.31,0.0,0.0,13.66,1.7,223.0,436.0,11.6,5.2,0.0,Empty
青稞,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E9%9D%92%E7%A8%9E,339.0,0.34,113.0,8.1,0.11,65.0,1.5,6.7,40.7,73.2,0.0,2.08,1.8,0.96,2.38,0.0,0.0,5.13,3.0,644.0,405.0,12.4,77.0,4.6,Empty
小米,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E7%B1%B3,358.0,0.33,41.0,9.0,0.1,107.0,3.1,1.5,5.1,73.5,0.0,0.89,1.6,3.63,1.87,17.0,0.0,0.54,1.2,284.0,229.0,11.6,4.3,4.74,Empty
小米面,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E7%B1%B3%E9%9D%A2,356.0,0.13,40.0,7.2,0.08,57.0,2.1,2.5,6.1,77.0,0.0,0.55,0.7,0.0,1.18,0.0,0.0,0.32,1.2,129.0,159.0,11.8,6.2,2.82,Empty
小米粥,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E5%B0%8F%E7%B1%B3%E7%B2%A5,46.0,0.02,10.0,1.4,0.07,22.0,0.7,0.9,1.0,8.4,0.0,0.16,0.0,0.26,0.41,0.0,0.0,0.07,0.2,19.0,32.0,89.3,4.1,0.3,Empty
大黄米,黍子,Empty,谷类,http://www.foodbk.com/wiki/%E5%A4%A7%E9%BB%84%E7%B1%B3,349.0,0.3,30.0,13.6,0.09,116.0,2.7,1.4,5.7,67.6,0.0,1.5,3.5,1.79,3.05,0.0,0.0,0.57,1.3,201.0,244.0,11.3,1.7,2.31,Empty
黄米,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E9%BB%84%E7%B1%B3,342.0,0.09,0.0,9.7,0.13,0.0,1.5,1.3,0.0,72.5,0.0,0.23,4.4,4.61,2.07,0.0,0.0,0.9,0.8,0.0,0.0,11.1,3.3,0.0,Empty
高粱米,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E9%AB%98%E7%B2%B1%E7%B1%B3,351.0,0.29,22.0,10.4,0.1,129.0,3.1,1.6,6.3,70.4,0.0,1.22,4.3,1.88,1.64,0.0,0.0,0.53,1.5,281.0,329.0,10.3,6.3,2.83,Empty
糜子,Empty,带皮,谷类,http://www.foodbk.com/wiki/%E7%B3%9C%E5%AD%90,323.0,0.45,99.0,10.6,0.18,146.0,0.6,1.2,5.0,68.8,0.0,1.1,6.3,3.5,2.07,0.0,0.0,0.61,4.3,148.0,205.0,9.4,9.6,12.01,Empty
糜子米,Empty,炒米,谷类,http://www.foodbk.com/wiki/%E7%B3%9C%E5%AD%90%E7%B1%B3,374.0,0.29,12.0,8.1,0.04,112.0,2.6,0.7,14.3,79.5,0.0,0.63,1.0,0.0,1.89,0.0,0.0,0.45,1.2,252.0,233.0,7.6,10.7,4.53,Empty
苦荞麦粉,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E8%8B%A6%E8%8D%9E%E9%BA%A6%E7%B2%89,304.0,0.32,39.0,9.7,0.21,94.0,2.7,1.5,4.4,60.2,0.0,1.31,5.8,1.73,2.02,0.0,0.0,0.89,2.3,320.0,244.0,19.3,2.3,5.57,Empty
荞麦,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E8%8D%9E%E9%BA%A6,324.0,0.28,47.0,9.3,0.16,258.0,2.3,2.2,6.2,66.5,0.0,2.04,6.5,4.4,3.62,3.0,0.0,0.56,2.4,401.0,297.0,13.0,4.7,2.45,Empty
荞麦,Empty,带皮,谷类,http://www.foodbk.com/wiki/%E8%8D%9E%E9%BA%A6,292.0,0.24,154.0,9.5,0.06,193.0,1.7,1.3,10.1,59.7,0.0,1.31,13.3,0.0,2.9,0.0,0.0,14.05,2.2,439.0,296.0,13.6,4.0,1.31,Empty
莜麦面,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E8%8E%9C%E9%BA%A6%E9%9D%A2,366.0,0.39,27.0,12.2,0.04,146.0,7.2,3.9,13.6,63.2,0.0,3.86,4.6,7.96,2.21,3.0,0.0,0.89,1.8,319.0,35.0,11.0,2.2,0.5,Empty
薏米,薏仁米，苡米,Empty,谷类,http://www.foodbk.com/wiki/%E8%96%8F%E7%B1%B3,357.0,0.22,42.0,12.8,0.15,88.0,3.3,2.0,3.6,69.1,0.0,1.37,2.0,2.08,1.68,0.0,0.0,0.29,1.6,238.0,217.0,11.2,3.6,3.07,Empty
薏米面,Empty,Empty,谷类,http://www.foodbk.com/wiki/%E8%96%8F%E7%B1%B3%E9%9D%A2,342.0,0.07,42.0,11.3,0.14,50.0,2.4,2.4,7.4,68.7,0.0,1.51,4.8,4.89,1.39,0.0,0.0,0.26,1.9,163.0,134.0,10.9,2.3,3.06,Empty
马铃薯,土豆，洋芋,Empty,薯类淀粉,http://www.foodbk.com/wiki/%E9%A9%AC%E9%93%83%E8%96%AF,76.0,0.08,8.0,2.0,0.04,23.0,0.2,1.1,0.8,16.5,27.0,0.14,0.7,0.34,0.37,5.0,0.0,0.12,0.8,342.0,40.0,79.8,2.7,0.78,Empty
