食物,别名,特征,分类,Wiki百科,热量(千卡),硫胺素(毫克),钙(毫克),蛋白质(克),核黄素(毫克),镁(毫克),脂肪(克),烟酸(毫克),铁(毫克),碳水化合物(克),维生素C(毫克),锰(毫克),膳食纤维(克),维生素E(毫克),锌(毫克),维生素A(微克),胆固醇(毫克),铜(毫克),胡罗卜素(微克),钾(毫克),磷(毫克),视黄醇当量(微克),钠(毫克),硒(微克),备注
鸭肫,Empty,公麻鸭,禽肉类,http://www.foodbk.com/wiki/%E9%B8%AD%E8%82%AB,112.0,0.05,2.0,19.8,0.08,19.0,1.2,0.0,3.9,5.4,0.0,0.12,0.0,0.12,3.73,48.0,295.0,0.14,1.0,351.0,116.0,72.6,70.1,0.0,Empty
鸭肫,Empty,母麻鸭,禽肉类,http://www.foodbk.com/wiki/%E9%B8%AD%E8%82%AB,126.0,0.04,1.0,20.4,0.09,1.0,4.2,0.0,4.0,1.6,0.0,0.19,0.0,0.12,4.03,102.0,291.0,0.14,0.9,349.0,144.0,72.9,69.0,0.0,Empty
北京烤鸭,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E5%8C%97%E4%BA%AC%E7%83%A4%E9%B8%AD,436.0,0.04,35.0,16.6,0.32,13.0,38.4,4.5,2.4,6.0,0.0,0.0,0.0,0.97,1.25,36.0,0.0,0.12,0.8,247.0,175.0,38.2,83.0,10.32,Empty
北京填鸭,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E5%8C%97%E4%BA%AC%E5%A1%AB%E9%B8%AD,425.0,0.0,15.0,9.3,0.0,6.0,41.3,4.2,1.6,3.9,0.0,0.0,0.0,0.53,1.31,30.0,96.0,0.0,0.5,139.0,149.0,45.0,45.5,5.8,Empty
红烧鸭,Empty,罐头,禽肉类,http://www.foodbk.com/wiki/%E7%BA%A2%E7%83%A7%E9%B8%AD,338.0,0.13,29.0,15.3,0.18,17.0,30.5,3.8,2.5,0.6,0.0,0.0,0.0,0.1,1.55,26.0,0.0,0.12,2.2,115.0,467.0,51.4,628.3,11.5,Empty
酱鸭,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E9%85%B1%E9%B8%AD,266.0,0.06,14.0,18.9,0.22,13.0,18.4,3.7,4.1,6.3,0.0,0.02,0.0,0.0,2.69,11.0,107.0,0.26,2.8,236.0,140.0,53.6,981.3,15.74,Empty
酱鸭,Empty,加梅菜，罐头,禽肉类,http://www.foodbk.com/wiki/%E9%85%B1%E9%B8%AD,248.0,0.11,29.0,11.8,0.13,24.0,21.7,6.1,2.8,1.3,0.0,0.14,1.2,0.1,3.03,26.0,35.0,0.14,2.1,130.0,208.0,61.9,474.5,10.4,Empty
盐水鸭,Empty,熟,禽肉类,http://www.foodbk.com/wiki/%E7%9B%90%E6%B0%B4%E9%B8%AD,313.0,0.07,10.0,16.6,0.21,14.0,26.1,2.5,0.7,2.8,0.0,0.05,0.0,0.42,2.04,35.0,81.0,0.32,2.8,218.0,112.0,51.7,1557.5,15.37,Empty
鹅,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E9%B9%85,251.0,0.07,4.0,17.9,0.23,18.0,19.9,4.9,3.8,0.0,0.0,0.04,0.0,0.22,1.36,42.0,74.0,0.43,0.8,232.0,144.0,61.4,58.8,17.68,Empty
鹅肝,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E9%B9%85%E8%82%9D,129.0,0.27,2.0,15.2,0.25,11.0,3.4,0.0,7.8,9.3,0.0,0.32,0.0,0.29,3.56,6100.0,285.0,7.78,1.4,336.0,216.0,70.7,70.2,0.0,Empty
鹅肫,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E9%B9%85%E8%82%AB,100.0,0.05,2.0,19.6,0.06,9.0,1.9,0.0,4.7,1.1,0.0,0.05,0.0,0.0,4.04,51.0,153.0,0.14,1.1,410.0,112.0,76.3,58.2,0.0,Empty
烧鹅,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E7%83%A7%E9%B9%85,289.0,0.09,91.0,19.7,0.11,7.0,21.5,3.6,3.8,4.2,0.0,0.06,0.0,0.07,2.0,9.0,116.0,0.26,1.8,22.0,202.0,52.8,240.0,7.68,Empty
火鸡腿,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E7%81%AB%E9%B8%A1%E8%85%BF,91.0,0.07,12.0,20.0,0.06,49.0,1.2,8.3,5.2,0.0,0.0,0.04,0.0,0.07,9.26,0.0,58.0,0.45,1.0,708.0,470.0,77.8,168.4,15.5,Empty
火鸡胸脯肉,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E7%81%AB%E9%B8%A1%E8%83%B8%E8%84%AF%E8%82%89,103.0,0.04,39.0,22.4,0.03,31.0,0.2,16.2,1.1,2.8,0.0,0.03,0.0,0.35,0.52,0.0,49.0,0.0,1.0,227.0,116.0,73.6,93.7,9.9,Empty
火鸡肝,Empty,Empty,禽肉类,http://www.foodbk.com/wiki/%E7%81%AB%E9%B8%A1%E8%82%9D,143.0,0.06,3.0,20.0,1.21,18.0,5.6,43.0,20.7,3.1,0.0,0.13,0.0,1.13,1.74,0.0,294.0,0.02,1.4,244.0,225.0,69.9,128.6,36.0,Empty
